,instrumentID,tradedate
652,IH1712                        ,2017-12-13
653,IH1712                        ,2017-12-14
654,IH1801                        ,2017-12-15
655,IH1801                        ,2017-12-18
656,IH1801                        ,2017-12-19
657,IH1801                        ,2017-12-20
658,IH1801                        ,2017-12-21
659,IH1801                        ,2017-12-22
660,IH1801                        ,2017-12-25
661,IH1801                        ,2017-12-26
662,IH1801                        ,2017-12-27
663,IH1801                        ,2017-12-28
664,IH1801                        ,2017-12-29
665,IH1801                        ,2018-01-02
666,IH1801                        ,2018-01-03
667,IH1801                        ,2018-01-04
668,IH1801                        ,2018-01-05
669,IH1801                        ,2018-01-08
670,IH1801                        ,2018-01-09
671,IH1801                        ,2018-01-10
672,IH1801                        ,2018-01-11
673,IH1801                        ,2018-01-12
674,IH1801                        ,2018-01-15
675,IH1801                        ,2018-01-16
676,IH1801                        ,2018-01-17
677,IH1801                        ,2018-01-18
678,IH1802                        ,2018-01-19
679,IH1802                        ,2018-01-22
680,IH1802                        ,2018-01-23
681,IH1802                        ,2018-01-24
682,IH1802                        ,2018-01-25
683,IH1802                        ,2018-01-26
684,IH1802                        ,2018-01-29
685,IH1802                        ,2018-01-30
686,IH1802                        ,2018-01-31
687,IH1802                        ,2018-02-01
688,IH1802                        ,2018-02-02
689,IH1802                        ,2018-02-05
690,IH1802                        ,2018-02-06
691,IH1802                        ,2018-02-07
692,IH1802                        ,2018-02-08
693,IH1802                        ,2018-02-09
694,IH1802                        ,2018-02-12
695,IH1802                        ,2018-02-13
696,IH1802                        ,2018-02-14
697,IH1803                        ,2018-02-22
698,IH1803                        ,2018-02-23
699,IH1803                        ,2018-02-26
700,IH1803                        ,2018-02-27
701,IH1803                        ,2018-02-28
702,IH1803                        ,2018-03-01
703,IH1803                        ,2018-03-02
704,IH1803                        ,2018-03-05
705,IH1803                        ,2018-03-06
706,IH1803                        ,2018-03-07
707,IH1803                        ,2018-03-08
708,IH1803                        ,2018-03-09
709,IH1803                        ,2018-03-12
710,IH1803                        ,2018-03-13
711,IH1803                        ,2018-03-14
712,IH1803                        ,2018-03-15
713,IH1804                        ,2018-03-16
714,IH1804                        ,2018-03-19
715,IH1804                        ,2018-03-20
716,IH1804                        ,2018-03-21
717,IH1804                        ,2018-03-22
718,IH1804                        ,2018-03-23
719,IH1804                        ,2018-03-26
720,IH1804                        ,2018-03-27
721,IH1804                        ,2018-03-28
722,IH1804                        ,2018-03-29
723,IH1804                        ,2018-03-30
724,IH1804                        ,2018-04-02
725,IH1804                        ,2018-04-03
726,IH1804                        ,2018-04-04
727,IH1804                        ,2018-04-09
728,IH1804                        ,2018-04-10
729,IH1804                        ,2018-04-11
730,IH1804                        ,2018-04-12
731,IH1804                        ,2018-04-13
732,IH1804                        ,2018-04-16
733,IH1804                        ,2018-04-17
734,IH1804                        ,2018-04-18
735,IH1804                        ,2018-04-19
736,IH1805                        ,2018-04-20
737,IH1805                        ,2018-04-23
738,IH1805                        ,2018-04-24
739,IH1805                        ,2018-04-25
740,IH1805                        ,2018-04-26
741,IH1805                        ,2018-04-27
742,IH1805                        ,2018-05-02
743,IH1805                        ,2018-05-03
744,IH1805                        ,2018-05-04
745,IH1805                        ,2018-05-07
746,IH1805                        ,2018-05-08
747,IH1805                        ,2018-05-09
748,IH1805                        ,2018-05-10
749,IH1805                        ,2018-05-11
750,IH1805                        ,2018-05-14
751,IH1805                        ,2018-05-15
752,IH1805                        ,2018-05-16
753,IH1805                        ,2018-05-17
754,IH1806                        ,2018-05-18
755,IH1806                        ,2018-05-21
756,IH1806                        ,2018-05-22
757,IH1806                        ,2018-05-23
758,IH1806                        ,2018-05-24
759,IH1806                        ,2018-05-25
760,IH1806                        ,2018-05-28
761,IH1806                        ,2018-05-29
762,IH1806                        ,2018-05-30
763,IH1806                        ,2018-05-31
764,IH1806                        ,2018-06-01
765,IH1806                        ,2018-06-04
766,IH1806                        ,2018-06-05
767,IH1806                        ,2018-06-06
768,IH1806                        ,2018-06-07
769,IH1806                        ,2018-06-08
770,IH1806                        ,2018-06-11
771,IH1806                        ,2018-06-12
772,IH1806                        ,2018-06-13
773,IH1806                        ,2018-06-14
774,IH1807                        ,2018-06-15
775,IH1807                        ,2018-06-19
776,IH1807                        ,2018-06-20
777,IH1807                        ,2018-06-21
778,IH1807                        ,2018-06-22
779,IH1807                        ,2018-06-25
780,IH1807                        ,2018-06-26
781,IH1807                        ,2018-06-27
782,IH1807                        ,2018-06-28
783,IH1807                        ,2018-06-29
784,IH1807                        ,2018-07-02
785,IH1807                        ,2018-07-03
786,IH1807                        ,2018-07-04
787,IH1807                        ,2018-07-05
788,IH1807                        ,2018-07-06
789,IH1807                        ,2018-07-09
790,IH1807                        ,2018-07-10
791,IH1807                        ,2018-07-11
792,IH1807                        ,2018-07-12
793,IH1807                        ,2018-07-13
794,IH1807                        ,2018-07-16
795,IH1807                        ,2018-07-17
796,IH1807                        ,2018-07-18
797,IH1807                        ,2018-07-19
798,IH1808                        ,2018-07-20
